Anti-Spoofing Log v4.0
Started: 2026-03-15 09:54:19.107015
==================================================

[20260315_095444] FAKE cam0 | conf=72%
[20260315_095447] FAKE cam0 | conf=81%
[20260315_095518] FAKE cam0 | conf=79%
[20260315_095523] FAKE cam0 | conf=75%
[20260315_095534] FAKE cam0 | conf=56%
[20260315_095603] FAKE cam0 | conf=85%
[20260315_100213] FAKE cam0 | conf=83%
[20260315_100216] FAKE cam0 | conf=83%
[20260315_100233] FAKE cam0 | conf=79%
[20260315_100237] FAKE cam0 | conf=68%
[20260315_100240] FAKE cam0 | conf=84%
[20260315_100244] FAKE cam0 | conf=90%
[20260315_100247] FAKE cam0 | conf=66%
[20260315_100251] FAKE cam0 | conf=70%
[20260315_100255] FAKE cam0 | conf=87%
[20260315_100301] FAKE cam0 | conf=89%
[20260315_100304] FAKE cam0 | conf=88%
[20260315_100308] FAKE cam0 | conf=83%
[20260315_100312] FAKE cam0 | conf=86%
[20260315_100316] FAKE cam0 | conf=63%
[20260315_100319] FAKE cam0 | conf=66%
[20260315_100322] FAKE cam0 | conf=89%
[20260315_100326] FAKE cam0 | conf=87%
[20260315_100330] FAKE cam0 | conf=86%
[20260315_100339] FAKE cam0 | conf=76%
